Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
u_J0Ng5cUGg,Ugy_TJMxhXjXereLhjx4AaABAg,looks  at  like  to  dislike  ratio            i  m  proud  of  this  community,4562,0.8,1,looks like dislike ratio proud community
u_J0Ng5cUGg,Ugy86T3fDZBpfF_Zmgt4AaABAg,the  like      dislike  ratio  is  beautiful,288,0.85,1,like dislike ratio beautiful
u_J0Ng5cUGg,UgxFl57UDyF6t-zWiWh4AaABAg,the  video  was  supposed  to  ask  men    about  half  a  video  in    it  naturally  became  question  to  a  sexist      that  s  how  good  they  know  about  people,0,0.2111111111111111,1,video supposed ask men half video naturally became question sexist good know people
u_J0Ng5cUGg,UgwKcGl7gkNA7tOzOO54AaABAg,when  they  ask  about  cents  equal  dollar    i  seriously  wonder  what's  in  their  mind,0,-0.16666666666666666,0,ask cents equal dollar seriously wonder 's mind
u_J0Ng5cUGg,UgyfYr7ake8pkKUTwzR4AaABAg,i  mean  its  cool  to  be  the  same  gender  as  shrek  and  albert  einstein,2,0.012499999999999992,1,mean cool gender shrek albert einstein
u_J0Ng5cUGg,UgyCTc6AQr4DCLRteFV4AaABAg,bruuuh  look  at  the  dislikes  we  now  why  yt  wants  to  remove  it    with  videos  with  this  ill  cancel  my  payment  for  premium,0,-0.15,0,bruuuh look dislikes yt wants remove videos ill cancel payment premium
u_J0Ng5cUGg,UgxAMM8_gXTf8wG-cEJ4AaABAg,almost  non    of  the  accusations  they  make  towards  men  are  true    lol  just  here  for  the  show,2,0.575,1,almost non accusations make towards men true lol show
u_J0Ng5cUGg,Ugz3S2aSDq9fp56Bi0F4AaABAg,i'm  a  woman  and  i'm  so  ashamed  of  this  video      to  the  lovely  men  out  there    we  are  not  all  this  stupid,395,-0.14999999999999997,0,'m woman 'm ashamed video lovely men stupid
u_J0Ng5cUGg,Ugx5YkmGqEGzHBdwUO14AaABAg,how  does  it  feel  being  the  same  gender  as  donald  trump      me    amazing    how  does  it  feel  being  the  same  gender  as  hillbilly  clinton,57,0.20000000000000004,1,feel gender donald trump amazing feel gender hillbilly clinton
u_J0Ng5cUGg,Ugw6TVz2QfEHGn9aVhZ4AaABAg,5  seconds  in  and  i  already  know  how  stupid  this  will  be    it  baffles  me  that  these  women  came  on  and  asked  all  these  stupid  questions  with  no  shame  what  so  ever  xd,0,-0.7999999999999999,0,5 seconds already know stupid baffles women came asked stupid questions shame ever xd
u_J0Ng5cUGg,UgwIM9SKHacQEyaSLVl4AaABAg,in  what  world  does  77  cents  equal  a  dollar      in  what  world  does  68  cents  equal  a  dollar    we  love  consistency  around  here,444,0.16666666666666666,1,world 77 cents equal dollar world 68 cents equal dollar love consistency around
u_J0Ng5cUGg,UgzktvCunel-IenNgGF4AaABAg,duh    i  hate  morden  w  men  utterly  so  much    well    i  am  freaking  happy  to  remain  single  especially  in  this  generation,2,-0.028571428571428584,0,duh hate morden w men utterly much well freaking happy remain single especially generation
u_J0Ng5cUGg,UgxfTDY1Q_sVcZ0BkA94AaABAg,tons  of  generalisation  going  on  here    something  which  most  women  hate  happening  to  them,1,-0.15000000000000002,0,tons generalisation going something women hate happening
u_J0Ng5cUGg,UgwUDO7cTlVu9u29Avd4AaABAg,these  questions  feel  i  lot  more  impactful  and  smart  when  there  in  mute,4,0.35714285714285715,1,questions feel lot impactful smart mute
u_J0Ng5cUGg,UgyO1Q1jJoKqQv75rt54AaABAg,just  broke  the  world  record  for  throwing  up  in  my  mouth  the  most  times  in  one  youtube  video    previously  owned  by  everyone  who  watched  youtube  rewind  2018,0,0.16666666666666669,1,broke world record throwing mouth times one youtube video previously owned everyone watched youtube rewind 2018
u_J0Ng5cUGg,Ugx8aN29BXfSs4LpaCZ4AaABAg,they  are  so  insecure  lmfaoooooo,0,-0.5,0,insecure lmfaoooooo
u_J0Ng5cUGg,UgzbgjDm6gvcTWUBMA14AaABAg,original  feminism          feminism  now,2468,0.375,1,original feminism feminism
u_J0Ng5cUGg,UgxMSBGOOrtWQ37cibl4AaABAg,why  do  i  deserve  to  be  paid  less  than  u      if  u  do  better  of  a  job  than  him  than  u  can  bring  up  this  argument,2,0.16666666666666669,1,deserve paid less u u better job u bring argument
u_J0Ng5cUGg,Ugyseh7MXITkb5vp2Bh4AaABAg,how  does  it  feel  to  be  the  same  species  as  men    or  better  yet  as  donald  trump,1,0.25,1,feel species men better yet donald trump
u_J0Ng5cUGg,UgybTfiihaFvGHFrvwZ4AaABAg,why  do  men  talk  about  boobs  for  hours        meanwhile    an  actual  convo  that  happens  at  my  work  when  no  women  are  around      john  wick  vs  thanos  with  a  full  gauntlet    but  thanos  just  snapped  away  wick  s  dog    who  wins,239,0.21666666666666665,1,men talk boobs hours meanwhile actual convo happens work women around john wick vs thanos full gauntlet thanos snapped away wick dog wins
u_J0Ng5cUGg,Ugwm4coxlXEKnHwbc894AaABAg,5  milion  people  watched  this  video  58k  of  them  are  idiots  or  miscliked  or  are  toxic  and  696k  of  them  have  biger  iq  than  these  women  in  this  video,0,-0.8,0,5 milion people watched video 58k idiots miscliked toxic 696k biger iq women video
u_J0Ng5cUGg,UgzKXDh3B5KN4Cdvakl4AaABAg,how  does  it  feel  to  be  the  same  gender  as  the  woman  who  ruined  a  whole  trilogy,3,0.1,1,feel gender woman ruined whole trilogy
u_J0Ng5cUGg,UgylxsBVqnxvGJLLp-p4AaABAg,why  do  men  talk  about  boobs  for  hours      boys    boys    boys          we  now  have  to  ask  the  reeeeeal  questions                  what  came  first  the  orange  or  the  orange,4,0.25,1,men talk boobs hours boys boys boys ask reeeeeal questions came first orange orange
u_J0Ng5cUGg,UgxbYezsACsNVJEBDWR4AaABAg,the  bible  is  more  entertaining,1,0.5,1,bible entertaining
u_J0Ng5cUGg,UgwxphjtJVNPtGyts9l4AaABAg,the  video  idea  is  cute  and  all  but  like  it  feels  like  just  a  bunch  of  girls  with  main  character  syndrome    like    my  perception  of  you  is  a  fact  because  i  am  me    you  aren't  unique  you  are  a  very  small  percentage  of  almost  8  billion  people,0,0.17916666666666664,1,video idea cute like feels like bunch girls main character syndrome like perception fact n't unique small percentage almost 8 billion people
u_J0Ng5cUGg,UgxSwiT9VdD_ryIZLvJ4AaABAg,i  watched  this  video  and  it  honestly  made  me  overwhelmed    so  i  made  out  with  a  dude  this  week    it  was  just  easier,0,0.6,1,watched video honestly made overwhelmed made dude week easier
