Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
Jkj36B1YuDU,Ugw0F-jRUY8Sj-EExLd4AaABAg,idk  why    but  i  hear  pain  in  his  voice  lol,2,0.8,1,idk hear pain voice lol
Jkj36B1YuDU,Ugy226P6aCy4zEKvSgZ4AaABAg,it  s  november  13th  2021    let  s  see  how  many  people  are  still  listening  to  this  masterpiece,86,0.25,1,november 13th 2021 let see many people still listening masterpiece
Jkj36B1YuDU,UgzxEGrvXtY1xEiQGYZ4AaABAg,headphones    on    sadness    on    intense  confusing  thoughts    on      crying    on    scrolling  through  other  comments  to  find  more  sad  stuff  to  hurt  you  even  more    on,904,0.010714285714285716,1,headphones sadness intense confusing thoughts crying scrolling comments find sad stuff hurt even
Jkj36B1YuDU,UgxCgCPPD8tSWeG84XJ4AaABAg,when  my  one  and  only  love  passes  away    this  song  is  what  ill  cry  to  every  night,48,0.0,0,one love passes away song ill cry every night
Jkj36B1YuDU,UgzIHI7Aj-17-_6Aold4AaABAg,that  other  love  is  the  love  me  and  my  dad  had,1,0.2916666666666667,1,love love dad
Jkj36B1YuDU,UgzH09PdIxcOgzBtTs94AaABAg,this  song  belongs  to  nian,1,0.0,0,song belongs nian
Jkj36B1YuDU,UgzeE1Uy-ndFVoBKR_94AaABAg,i  found  her  guys,0,0.0,0,found guys
Jkj36B1YuDU,UgyyYULyS2y0MoAWth94AaABAg,nobody              me    i'm  the  one  who  always  makes  it  so  it  doesn't  end,0,0.0,0,nobody 'm one always makes n't end
Jkj36B1YuDU,UgywMEneBvxSozoROjB4AaABAg,she  broke  up,0,0.0,0,broke
Jkj36B1YuDU,UgzvyLPWmt4njpWuaKt4AaABAg,wanna  hear  a  story      she  was  a  girl  who  was  not  so  good  in  studies  who  used  to  sit  at  back  of  class  just  to  not  get  attention    he  was  a  guy  who  had  plenty  of  girls  a  guy  who  never  cared  for  her  feelings    she  crushed  on  him  for  like  a  year  blushing  when  he  walked  near  her  it  was  10  at  night  rain  pouring  heavily  it  was  so  peaceful  she  heard  giggles  she  looked  around  found  him  kissing  a  pretty  girl  quickly  she  hid  near  the  pole  to  hide  her  road  to  home  it  was  lonely  rain  pouring  she  crying  her  mascara  smudge  all  the  way  down  her  cheeks  after  getting  home  mother  asked  what  happend  you  look  upset    it's  nothing  mom  my  friend  called  me  she  smiled  and  quickly  goes  upstairs  to  her  room  cried  all  night          sorry  for  bad  english  luv  yall  3,0,0.04183006535947714,1,wan na hear story girl good studies used sit back class get attention guy plenty girls guy never cared feelings crushed like year blushing walked near 10 night rain pouring heavily peaceful heard giggles looked around found kissing pretty girl quickly hid near pole hide road home lonely rain pouring crying mascara smudge way cheeks getting home mother asked happend look upset 's nothing mom friend called smiled quickly goes upstairs room cried night sorry bad english luv yall 3
